term,pvalue,count,ratio
Pathway_1,0.013056769550660624,15,0.09316770186335403
Pathway_2,0.010765588174237518,67,0.2768595041322314
Pathway_3,0.013612776236822506,65,0.24528301886792453
Pathway_4,0.3128114409205333,62,0.5961538461538461
Pathway_5,0.015068438792239345,33,0.1625615763546798
Pathway_6,0.0263376918583087,44,0.16356877323420074
Pathway_7,0.03403860486988432,65,0.2697095435684647
Pathway_8,0.030842200771365933,59,0.20344827586206896
Pathway_9,0.0503222929592489,50,0.17921146953405018
Pathway_10,0.1558893008010831,44,0.2682926829268293
Pathway_11,0.27351400525385605,29,0.16111111111111112
Pathway_12,0.015192882563733783,73,0.24745762711864408
Pathway_13,0.011886931561469739,29,0.1870967741935484
Pathway_14,0.025287669504513957,40,0.14035087719298245
Pathway_15,0.11950961650623224,72,0.2857142857142857
