rank,running_es,hit
1,0.042418881608430506,0
2,0.07345275876395171,0
3,0.17194305573153545,0
4,0.18072166620437957,0
5,0.06391099168652237,0
6,0.023212114862761188,0
7,-0.13895720320363736,0
8,-0.12965295238762473,0
9,-0.17719476834672823,1
10,-0.15853343217018134,0
11,-0.30574356141303055,0
12,-0.28500869356617303,1
13,-0.3032555241687922,0
14,-0.32255131313034563,0
15,-0.4073577866184424,0
16,-0.1662787167306204,0
17,-0.2773618084965995,0
18,-0.36500924474425045,0
19,-0.44737136245526565,0
20,-0.4209043211875595,0
21,-0.45890497857950396,0
22,-0.3541401136012844,0
23,-0.30247128659956557,0
24,-0.32012877074182977,0
25,-0.29287213467354317,1
26,-0.25162845318848437,1
27,-0.3538641972834299,0
28,-0.32100314629728083,0
29,-0.3543072503651351,0
30,-0.4744313388775112,0
31,-0.34935504596846045,0
32,-0.4141663499181667,0
33,-0.33719133976700966,0
34,-0.37126879186064793,0
35,-0.24562438292544359,1
36,-0.3271311727836778,0
37,-0.3742338019187711,0
38,-0.24984466873507458,0
39,-0.1630748902226465,0
40,-0.07700702401489486,0
41,-0.17035766583338227,1
42,-0.1706346171204486,1
43,-0.23486689950479633,0
44,-0.2056356009439945,1
45,-0.057859871167159876,0
46,-0.09391651073734611,0
47,0.025580701331321246,0
48,0.025259661261751748,1
49,0.028812106709639844,0
50,-0.06133179541842484,0
51,-0.017036651113237267,0
52,0.07942792009460162,0
53,0.141585021915487,0
54,0.18171515218402035,0
55,0.2265459526084377,0
56,0.17075561446227336,0
57,0.3087757308673965,0
58,0.25927494174607046,0
59,0.23139422467601453,0
60,0.2963628201794828,0
61,0.05916172279477122,0
62,0.037346586910168816,0
63,-0.006746990417891584,0
64,0.01998951492707968,0
65,-0.07533299146466443,0
66,-0.17114637463178192,0
67,-0.09396546624421076,0
68,-0.1316721725997052,0
69,-0.023612985551934,0
70,-0.04202011479869368,0
71,-0.13830541889407572,1
72,-0.17015254660456858,0
73,-0.09413961103351971,0
74,-0.14043845290873186,0
75,-0.26747363303426175,0
76,-0.2661769392897795,0
77,-0.1524234817001755,0
78,-0.34553374974460793,0
79,-0.4799691524725406,0
80,-0.35930889217440903,0
81,-0.3170627056661489,0
82,-0.36557633461707023,0
83,-0.2783429270898868,0
84,-0.31658230124048564,0
85,-0.34853686635268216,0
86,-0.24706709675458266,0
87,-0.1878746950465914,0
88,-0.10789724866181966,0
89,-0.19282319555753885,0
90,-0.21659059459687285,0
91,-0.2503418986640059,0
92,-0.34891821297430103,0
93,-0.22166045831038278,0
94,-0.1858586931916828,0
95,-0.27497665105561625,0
96,-0.19747577570309466,0
97,-0.21944003602903286,0
98,-0.21879517871307758,0
99,-0.10751086170584201,0
100,-0.22646469376504397,0
101,-0.3498892898610527,0
102,-0.31564694837619584,0
103,-0.26471668015558897,0
104,-0.19041827433336145,0
105,-0.23124499046303282,0
106,-0.3397112524466814,0
107,-0.2900987055102036,0
108,-0.35057719303583135,0
109,-0.34099328786455424,1
110,-0.5030420092865193,1
111,-0.6254487050884906,0
112,-0.7577190843940975,0
113,-0.7910504810115901,0
114,-0.7763702382755028,0
115,-0.8918569945279305,0
116,-0.8491927702166575,1
117,-0.8301332683524658,0
118,-0.8940196568106508,0
119,-0.9953989276475534,0
120,-1.0155091111045211,0
121,-0.8731700831548657,0
122,-0.796115790536386,0
123,-0.7581563082209418,0
124,-0.7813101045186038,0
125,-0.7816779721603511,0
126,-0.7706906814532674,0
127,-0.791300580398858,0
128,-0.8334449141657366,0
129,-0.9307813783491459,0
130,-0.990489578747074,0
131,-0.9604314700768141,0
132,-1.0044794629100577,0
133,-0.9961109756703665,0
134,-0.8922353418905539,0
135,-0.9541877434007348,0
136,-0.7420944504437348,0
137,-0.8535311541333128,0
138,-0.9025283733000936,1
139,-0.9760935292986159,0
140,-1.0342050021003928,0
141,-1.0011608028569277,0
142,-1.1053946869783717,0
143,-1.1926980997812957,0
144,-1.275606254919197,0
145,-1.2162987033182486,0
146,-1.3119469145326792,0
147,-1.3431622898622924,0
148,-1.262750184427749,0
149,-1.206290094955357,0
150,-1.1703930266661273,0
151,-1.1031937124481173,0
152,-1.0296590163938133,0
153,-0.9006627368440604,0
154,-0.9786155589231097,0
155,-1.1226664786178089,0
156,-1.1061653624421672,0
157,-0.9522858327774609,0
158,-0.8163308885179499,0
159,-0.734394230040903,0
160,-0.8332606796095349,0
161,-0.8075860582989627,0
162,-0.87948399979216,1
163,-0.9652824419247822,0
164,-0.9853526265145741,0
165,-1.1135849784043872,0
166,-1.1889437566895902,0
167,-1.1871161029168062,0
168,-1.1691982003165626,0
169,-1.1204400176357652,1
170,-1.1491698072400292,0
171,-1.092010494919241,0
172,-1.1285941522955305,0
173,-1.064284712830955,0
174,-1.0868633458905683,1
175,-1.0540569781178561,0
176,-1.0821621782596176,0
177,-1.0904899944069137,0
178,-1.2835826615295574,0
179,-1.2368225249073772,1
180,-1.1684587975393874,0
181,-1.3333853311840687,1
182,-1.225960140266903,0
183,-1.4098615481377308,0
184,-1.3415346597045088,1
185,-1.3809833160061713,0
186,-1.473223473329726,0
187,-1.5148566032919204,0
188,-1.4838584282281295,0
189,-1.5970714275900308,0
190,-1.5639618819235448,0
191,-1.4245764902738687,0
192,-1.4057588779727157,0
193,-1.4334725267120487,0
194,-1.4453781447985892,0
195,-1.41108903142736,0
196,-1.2532627673404804,0
197,-1.2483735567058964,0
198,-1.2519009118129554,0
199,-1.210295935898898,0
200,-1.165995525784701,0
