field,magnetization,sample
-1.0,-0.9858094070410662,Loop1
-0.9866666666666667,-0.9858626776298229,Loop1
-0.9733333333333334,-1.0363087227714394,Loop1
-0.96,-1.0041117543232003,Loop1
-0.9466666666666667,-0.9699903352885901,Loop1
-0.9333333333333333,-0.9710102533708251,Loop1
-0.92,-0.9592404600021524,Loop1
-0.9066666666666666,-0.9745992317016622,Loop1
-0.8933333333333333,-1.000932366342718,Loop1
-0.88,-0.990781351501926,Loop1
-0.8666666666666667,-0.9789487173134127,Loop1
-0.8533333333333333,-0.9921595384975359,Loop1
-0.84,-0.9831025184340692,Loop1
-0.8266666666666667,-0.9629905866363048,Loop1
-0.8133333333333334,-0.9612423813376597,Loop1
-0.8,-0.9543256538462191,Loop1
-0.7866666666666666,-0.9977922089041844,Loop1
-0.7733333333333333,-0.9721420835498022,Loop1
-0.76,-0.9695146709176163,Loop1
-0.7466666666666666,-0.9373005540154976,Loop1
-0.7333333333333334,-0.9598721248235167,Loop1
-0.72,-0.9073764055224772,Loop1
-0.7066666666666667,-0.941089792983266,Loop1
-0.6933333333333334,-0.9372805637979829,Loop1
-0.6799999999999999,-0.9420554784117845,Loop1
-0.6666666666666667,-0.9400655754544546,Loop1
-0.6533333333333333,-0.9045740346934368,Loop1
-0.64,-0.9410569052960438,Loop1
-0.6266666666666667,-0.9058226582688375,Loop1
-0.6133333333333333,-0.9126851685805275,Loop1
-0.6,-0.8815787734011982,Loop1
-0.5866666666666667,-0.8714413743311886,Loop1
-0.5733333333333333,-0.8653306127832703,Loop1
-0.56,-0.9179459167142378,Loop1
-0.5466666666666666,-0.8934606453219283,Loop1
-0.5333333333333333,-0.9135332465409409,Loop1
-0.52,-0.8774609208953604,Loop1
-0.5066666666666666,-0.8682867728736191,Loop1
-0.4933333333333333,-0.8764557155256331,Loop1
-0.48,-0.8166563402056958,Loop1
-0.4666666666666667,-0.8339152132372897,Loop1
-0.45333333333333337,-0.8026766585703554,Loop1
-0.43999999999999995,-0.8026737824832663,Loop1
-0.42666666666666664,-0.7870900499442233,Loop1
-0.41333333333333333,-0.8076460516082926,Loop1
-0.4,-0.7612188932274672,Loop1
-0.3866666666666667,-0.7509697053565818,Loop1
-0.3733333333333333,-0.7475392128069056,Loop1
-0.36,-0.6928267310564787,Loop1
-0.3466666666666667,-0.7113465565720875,Loop1
-0.33333333333333337,-0.6768271429146528,Loop1
-0.31999999999999995,-0.6628770118838833,Loop1
-0.30666666666666664,-0.6640598843007082,Loop1
-0.29333333333333333,-0.6230878722444287,Loop1
-0.28,-0.6491004689010633,Loop1
-0.2666666666666667,-0.6074734189234449,Loop1
-0.2533333333333333,-0.5319806433002205,Loop1
-0.24,-0.5214424690893731,Loop1
-0.22666666666666668,-0.5519759846657931,Loop1
-0.21333333333333337,-0.49446771509004317,Loop1
-0.19999999999999996,-0.46205792740728974,Loop1
-0.18666666666666665,-0.45169334528330946,Loop1
-0.17333333333333334,-0.4323125885721805,Loop1
-0.16000000000000003,-0.38253697910057427,Loop1
-0.1466666666666666,-0.36262803089036383,Loop1
-0.1333333333333333,-0.331080821526661,Loop1
-0.12,-0.3114359403037449,Loop1
-0.10666666666666669,-0.2821292607274579,Loop1
-0.09333333333333338,-0.24402955585327354,Loop1
-0.07999999999999996,-0.2238622162989043,Loop1
-0.06666666666666665,-0.19067635600077412,Loop1
-0.053333333333333344,-0.13896818439635655,Loop1
-0.040000000000000036,-0.13246648073519984,Loop1
-0.026666666666666616,-0.09477333064174809,Loop1
-0.013333333333333308,-0.03619502396053727,Loop1
0.0,-0.0006430526817745978,Loop1
0.01333333333333342,-0.00837506895455132,Loop1
0.026666666666666616,0.0789566082393885,Loop1
0.040000000000000036,0.08362205201207805,Loop1
0.05333333333333323,0.12450394080326427,Loop1
0.06666666666666665,0.1318950784211871,Loop1
0.08000000000000007,0.24141458103356983,Loop1
0.09333333333333327,0.22583818699331143,Loop1
0.10666666666666669,0.2721582104536643,Loop1
0.1200000000000001,0.2821791212193166,Loop1
0.1333333333333333,0.29611787837197495,Loop1
0.14666666666666672,0.33938656713796894,Loop1
0.15999999999999992,0.41301268211929054,Loop1
0.17333333333333334,0.40625577728089146,Loop1
0.18666666666666676,0.4636175309802844,Loop1
0.19999999999999996,0.43911200459572086,Loop1
0.21333333333333337,0.47562548254240505,Loop1
0.22666666666666657,0.5036837980559106,Loop1
0.24,0.5232328523341667,Loop1
0.2533333333333334,0.5599704777318383,Loop1
0.2666666666666666,0.5780921930509476,Loop1
0.28,0.5939995395475166,Loop1
0.2933333333333332,0.6260962655477769,Loop1
0.30666666666666664,0.6759854785998264,Loop1
0.32000000000000006,0.6802909245259551,Loop1
0.33333333333333326,0.6819053102540839,Loop1
0.3466666666666667,0.7273377855346868,Loop1
0.3600000000000001,0.713865780565009,Loop1
0.3733333333333333,0.7473654142544843,Loop1
0.3866666666666667,0.7457708880300012,Loop1
0.3999999999999999,0.7344175781712725,Loop1
0.41333333333333333,0.8029328250041324,Loop1
0.42666666666666675,0.770660879173676,Loop1
0.43999999999999995,0.7901155515142488,Loop1
0.45333333333333337,0.7959855553622786,Loop1
0.46666666666666656,0.8389832467539433,Loop1
0.48,0.8648228048126408,Loop1
0.4933333333333334,0.8446376720788811,Loop1
0.5066666666666666,0.86547549853555,Loop1
0.52,0.8566113176930176,Loop1
0.5333333333333334,0.8691731806841778,Loop1
0.5466666666666666,0.9299888644263645,Loop1
0.56,0.8801241241558779,Loop1
0.5733333333333333,0.8616997010334327,Loop1
0.5866666666666667,0.8779578124834556,Loop1
0.6000000000000001,0.9226386165817453,Loop1
0.6133333333333333,0.882497535334779,Loop1
0.6266666666666667,0.8997019624360618,Loop1
0.6399999999999999,0.9318937949191978,Loop1
0.6533333333333333,0.9094047680870292,Loop1
0.6666666666666667,0.903865151358973,Loop1
0.6799999999999999,0.9484523092701957,Loop1
0.6933333333333334,0.9622436618093776,Loop1
0.7066666666666668,0.9468895628133054,Loop1
0.72,0.9412035286878305,Loop1
0.7333333333333334,0.9468081500643339,Loop1
0.7466666666666666,0.9901499065899837,Loop1
0.76,0.9773686377794853,Loop1
0.7733333333333334,0.9662402414020445,Loop1
0.7866666666666666,0.9391016622848897,Loop1
0.8,0.9674119561113124,Loop1
0.8133333333333332,1.009166628059564,Loop1
0.8266666666666667,0.9539992379153881,Loop1
0.8400000000000001,0.9735608983341973,Loop1
0.8533333333333333,1.002509108779477,Loop1
0.8666666666666667,0.9620590692923399,Loop1
0.8799999999999999,0.9856891134180027,Loop1
0.8933333333333333,0.9563165982815345,Loop1
