strain,stress
0.0,0.72116865001832
0.00125,-2.7037124870631972
0.0025,1.1503850912456226
0.00375,0.6094266225903502
0.005,0.9484155325022482
0.00625,-0.09342951606938632
0.0075,4.2006096182494135
0.00875,-1.156837385102729
0.01,0.6685647848903415
0.01125,2.7608397067356343
0.0125,0.4148362124018723
0.01375,0.4219920378731161
0.015,1.2215492295114712
0.01625,5.239399854029927
0.0175,3.428584658434088
0.01875,2.458762590349928
0.02,3.8261192085823783
0.02125,2.990748044553542
0.0225,-0.8940342695782988
0.02375,6.605759531721642
0.025,9.623833336493696
0.02625,7.616420070161507
0.0275,5.466106096043113
0.02875,4.812190502254221
0.03,7.6376265825829135
0.03125,6.736766757366954
0.0325,6.478640040844527
0.03375,8.021155444061874
0.035,7.218737395224164
0.03625,7.179877969940843
0.0375,3.007923882563891
0.03875,8.859002266630338
0.04,12.57957168190169
0.04125,9.527323246070182
0.0425,5.816171003775989
0.04375,6.93174869255402
0.045,6.446219195975212
0.04625,6.692801999515119
0.0475,8.564409427785938
0.04875,13.292143313271636
0.05,9.460258633655686
0.05125,10.218945086538877
0.0525,10.078873176972948
0.05375,8.62517607202291
0.055,13.57922625696961
0.05625,10.855639092596281
0.0575,12.03066352326635
0.05875,10.878087103393547
0.06,10.32921119983401
0.06125,12.006578733367292
0.0625,10.387965373221592
0.06375,16.43867314724133
0.065,12.408940669089876
0.06625,12.067040841749845
0.0675,12.539500014426219
0.06875,18.84614472516987
0.07,12.720586256760336
0.07125,13.120203011641593
0.0725,11.82500492613628
0.07375,13.92940273468822
0.075,14.866152771748018
0.07625,14.918914947968556
0.0775,15.139209361935974
0.07875,17.467348781066676
0.08,13.70592407025493
0.08125,13.286177789445125
0.0825,17.066624152307096
0.08375,17.88126850268338
0.085,19.053661528530007
0.08625,16.554993161426875
0.0875,18.393367309184914
0.08875,17.440034549294257
0.09,18.515151397544358
0.09125,22.122443696326712
0.0925,21.567902517118753
0.09375,19.826102840340262
0.095,20.030660537847087
0.09625,17.607390330816514
0.0975,17.953829457931267
0.09875,20.403390674464926
0.1,19.96469901039117
0.10125,23.851465670738833
0.1025,20.985995507580807
0.10375,22.36065864088728
0.105,26.279215592449468
0.10625,25.180257704505404
0.1075,22.78492129175998
0.10875,20.253783643502725
0.11,22.006828947388122
0.11125,22.2553171696382
0.1125,22.56138334230567
0.11375,22.778460312155453
0.115,22.557368751328326
0.11625,20.839005922189756
0.1175,25.63959561092373
0.11875,28.489988979425874
0.12,27.530375539704806
0.12125,23.154046653227986
0.1225,22.316865654671464
0.12375,27.433356788101612
0.125,28.987087374915568
0.12625,27.85792671258854
0.1275,29.942403950327762
0.12875,27.548548600931888
0.13,28.11010055443471
0.13125,27.81207616763413
0.1325,28.570625562414868
0.13375,29.551566993317092
0.135,31.813743389214572
0.13625,30.325618360467914
0.1375,30.747360637397282
0.13875,28.20417527403664
0.14,27.62705162677289
0.14125,30.461634764301515
0.1425,29.31934189598707
0.14375,32.21959431695132
0.145,30.84216876965923
0.14625,31.108356532304533
0.1475,31.106314265361906
0.14875,30.809773718715295
0.15,31.78447087886948
0.15125,31.46984539876773
0.1525,33.44986591103653
0.15375,31.10656252236706
0.155,31.267547929169588
0.15625,33.17363112194854
0.1575,32.413429037744365
0.15875,31.253051310193193
0.16,33.14848348661491
0.16125,38.812917887855676
0.1625,31.88070970086892
0.16375,37.415164139550306
0.165,36.3223473498521
0.16625,35.68553113043138
0.1675,36.368357124641726
0.16875,39.28357442225955
0.17,37.439375910307305
0.17125,32.870855823831164
0.1725,36.08969499265879
0.17375,39.888468771402174
0.175,36.208052809706764
0.17625,41.72247473501619
0.1775,41.94413509907884
0.17875,37.43854190604281
0.18,35.58632132928116
0.18125,34.85176984364267
0.1825,43.23133967689949
0.18375,39.73651006101346
0.185,40.106524704645565
0.18625,40.4785071032763
0.1875,38.515842933409665
0.18875,39.716889832886395
0.19,40.08167720122346
0.19125,40.927926569770214
0.1925,42.28150331282008
0.19375,44.939538526373106
0.195,41.834206883486274
0.19625,40.96723008133605
0.1975,45.859535653482524
0.19875,40.72751322835806
0.2,43.997717820991134
0.20125,44.48526434968636
0.2025,42.647356654649535
0.20375,43.048020921094995
0.205,46.60359249485209
0.20625,46.61992601199136
0.2075,44.33453224717011
0.20875,44.96167014917716
0.21,45.56776457136193
0.21125,39.74549306054023
0.2125,43.36985812767477
0.21375,45.53582416728247
0.215,49.373277137426044
0.21625,48.31519162707154
0.2175,47.278769377102556
0.21875,48.90452353952514
0.22,43.568608642126726
0.22125,45.77929868277134
0.2225,46.60043653219092
0.22375,51.08770605144487
0.225,49.20900255717277
0.22625,50.976086281343065
0.2275,50.82797620789304
0.22875,50.49316818818386
0.23,48.454632865778095
0.23125,50.68643677441276
0.2325,49.167104736742935
0.23375,48.53032428728946
0.235,52.90704860956363
0.23625,53.830857360681044
0.2375,53.802938210545534
0.23875,47.58979448301177
0.24,53.456194239774206
0.24125,54.41822152550218
0.2425,53.90585386183016
0.24375,50.425464463783335
0.245,52.78246939303078
0.24625,52.85541879366383
0.2475,52.48462566050795
0.24875,57.03130735144348
