factor1,factor2,value
Low,G1,1.2672521886173442
Low,G1,-0.06064215415663978
Low,G1,0.3988783520545769
Low,G1,-0.011741598866499614
Low,G1,1.3463068870842219
Low,G1,1.0473485247780263
Low,G1,-0.5033318562922068
Low,G1,0.9724903697774625
Low,G1,-0.020645466727353987
Low,G1,1.1875498850829236
Low,G1,-0.3789400726999207
Low,G1,0.09181321321989037
Low,G1,-0.568878580477992
Low,G1,-1.564242987873337
Low,G1,-1.2149655154531156
Low,G1,1.1244401752578461
Low,G1,0.619997187891441
Low,G1,-0.7913278524623752
Low,G1,0.49245428618946896
Low,G1,0.03327384268321537
Low,G1,0.7721950400135805
Low,G1,-0.4427896992293402
Low,G1,-0.009579990932710619
Low,G1,-1.1515859491311302
Low,G1,1.1468356665636454
Low,G1,0.5242244251503546
Low,G1,0.11848255145367993
Low,G1,2.4450283292820028
Low,G1,1.1789768099362175
Low,G1,1.4298101840442161
Low,G2,0.1827765023336117
Low,G2,-0.6631656335287278
Low,G2,0.30732685123947406
Low,G2,-0.09786341383372409
Low,G2,-0.48869847795572874
Low,G2,1.0396347135703508
Low,G2,-0.46102948251377884
Low,G2,0.10452191969620095
Low,G2,-0.021724710207105424
Low,G2,-1.6487078316195047
Low,G2,0.3865893466625747
Low,G2,0.6237421003189003
Low,G2,-0.09496023093684833
Low,G2,0.10898789640622575
Low,G2,-0.4666847293681682
Low,G2,-0.7719550533268748
Low,G2,-0.7750206422290641
Low,G2,-1.9475671706971949
Low,G2,0.3895553310410831
Low,G2,-1.4758256799506375
Low,G2,-0.5966648870424973
Low,G2,-2.234882470623503
Low,G2,-0.813721081471345
Low,G2,0.3947479543009813
Low,G2,-0.058485077571483954
Low,G2,-0.11872186901635373
Low,G2,0.08958271626431175
Low,G2,-1.8402705703390687
Low,G2,0.7236538194884133
Low,G2,-0.5690461029194179
High,G1,0.33149596141489646
High,G1,0.7366678211277806
High,G1,-2.354794598716766
High,G1,1.7231434003538324
High,G1,-0.03999021771164274
High,G1,0.8578251693764744
High,G1,-0.044174782496326004
High,G1,-0.31637894074885164
High,G1,1.61906541519673
High,G1,-0.9035024007045704
High,G1,0.5935763506242192
High,G1,-0.23044990521421338
High,G1,0.816169437698265
High,G1,1.1989895148025687
High,G1,0.994088934120386
High,G1,0.8573875662729886
High,G1,-0.29966683347785283
High,G1,0.053575836787787656
High,G1,0.6325085214711852
High,G1,1.5041230159607017
High,G1,0.770530638460741
High,G1,0.11001136495103575
High,G1,0.5118769888564113
High,G1,1.214883533979347
High,G1,0.7682905454711271
High,G1,1.1997219517294981
High,G1,-0.10143270096661716
High,G1,1.2081737259224068
High,G1,-0.05725564598039923
High,G1,0.39466231953623343
High,G2,0.7261393368239173
High,G2,-1.1794334985071275
High,G2,-0.10384449112544836
High,G2,0.42381265755740516
High,G2,0.3162667884294689
High,G2,0.9807187378721535
High,G2,-2.173054846015768
High,G2,-1.5127069910389395
High,G2,1.1444626259085298
High,G2,0.8899784797107944
High,G2,2.096025239012376
High,G2,0.034087016300741554
High,G2,1.3474449680741607
High,G2,2.376249219280814
High,G2,-2.1354641378371593
High,G2,-1.5075738072110783
High,G2,-0.3481643535863591
High,G2,-1.270430204455558
High,G2,1.6652196178424257
High,G2,-0.11575457440151049
High,G2,-0.5502517404328261
High,G2,1.38584020435237
High,G2,0.8024624398314102
High,G2,-0.4327925548946193
High,G2,0.8333371411080276
High,G2,-0.7714737555484862
High,G2,-0.5479447666631903
High,G2,1.3283814599542048
High,G2,-0.6948749810957678
High,G2,-0.3499222051877279
