true,pred
Water,Forest
Forest,Soil
Forest,Forest
Soil,Soil
Water,Water
Soil,Soil
Forest,Forest
Forest,Forest
Water,Water
Forest,Forest
Forest,Water
Water,Water
Water,Water
Water,Soil
Forest,Forest
Forest,Forest
Forest,Forest
Forest,Forest
Soil,Soil
Soil,Soil
Forest,Forest
Water,Water
Forest,Forest
Forest,Forest
Water,Water
Water,Water
Forest,Forest
Water,Water
Forest,Forest
Soil,Soil
Water,Water
Water,Water
Soil,Soil
Water,Water
Forest,Soil
Forest,Forest
Forest,Forest
Water,Water
Water,Water
Water,Water
Soil,Soil
Forest,Forest
Soil,Soil
Forest,Forest
Soil,Soil
Forest,Forest
Water,Water
Soil,Soil
Forest,Forest
Water,Water
Soil,Soil
Soil,Soil
Water,Water
Forest,Forest
Soil,Soil
Forest,Forest
Water,Water
Soil,Soil
Water,Water
Forest,Forest
Forest,Forest
Water,Water
Forest,Forest
Forest,Forest
Forest,Soil
Water,Water
Water,Water
Soil,Soil
Water,Water
Forest,Forest
Water,Water
Water,Water
Soil,Soil
Soil,Soil
Water,Water
Water,Water
Water,Water
Soil,Soil
Forest,Forest
Forest,Forest
Water,Water
Forest,Forest
Soil,Soil
Forest,Water
Water,Water
Water,Water
Soil,Soil
Forest,Forest
Forest,Water
Forest,Forest
Soil,Soil
Soil,Soil
Soil,Soil
Soil,Soil
Water,Water
Water,Water
Water,Water
Forest,Forest
Water,Water
Soil,Soil
Water,Water
Soil,Soil
Water,Water
Water,Water
Soil,Soil
Forest,Forest
Water,Water
Forest,Forest
Forest,Water
Forest,Forest
Water,Water
Forest,Forest
Soil,Water
Soil,Soil
Forest,Forest
Water,Water
Soil,Forest
Forest,Forest
Soil,Soil
Water,Water
Soil,Soil
Water,Water
Soil,Soil
Soil,Soil
Water,Water
Water,Water
Water,Water
Water,Water
Forest,Water
Water,Water
Soil,Soil
Soil,Soil
Forest,Forest
Soil,Soil
Soil,Soil
Forest,Forest
Forest,Forest
Soil,Water
Water,Water
Soil,Soil
Soil,Soil
Water,Water
Soil,Soil
Soil,Soil
Forest,Forest
Water,Water
Water,Water
Forest,Soil
Soil,Soil
Water,Water
Water,Water
Water,Water
Soil,Soil
Soil,Soil
Water,Water
Forest,Forest
Forest,Soil
Forest,Forest
Water,Water
Forest,Forest
Forest,Forest
Soil,Soil
Soil,Soil
Water,Water
Forest,Forest
Water,Water
Forest,Forest
Water,Water
Water,Water
Soil,Soil
Soil,Soil
Forest,Forest
Water,Water
Water,Water
Water,Water
Water,Water
Forest,Forest
Water,Water
Water,Water
Water,Water
Soil,Soil
Water,Water
Water,Soil
Soil,Forest
Water,Water
Soil,Soil
Forest,Forest
Soil,Soil
Forest,Soil
Water,Water
Soil,Soil
Soil,Soil
Forest,Forest
Water,Water
Water,Water
Soil,Soil
Soil,Soil
Forest,Forest
Forest,Forest
Soil,Soil
